Ca ids,ICC2861_Control,ICC2861_Stress,ICC283_Control,ICC283_Stress
Ca_09302,199.66666666666666,126.0,326.3333333333333,180.66666666666666
Ca_09303,57.333333333333336,40.666666666666664,46.333333333333336,35.666666666666664
Ca_09304,20.0,19.0,13.0,7.666666666666667
Ca_09305,121.0,104.33333333333333,86.66666666666667,106.66666666666667
Ca_09306,0.0,0.0,0.0,0.0
Ca_09307,584.6666666666666,463.3333333333333,358.0,457.0
Ca_09308,90.66666666666667,64.66666666666667,56.666666666666664,74.33333333333333
Ca_09309,107.0,111.66666666666667,103.33333333333333,139.66666666666666
Ca_09310,514.0,412.3333333333333,559.3333333333334,510.0
Ca_09311,49.333333333333336,43.333333333333336,30.666666666666668,37.666666666666664
Ca_09312,49.333333333333336,43.333333333333336,30.666666666666668,37.666666666666664
Ca_09313,3.0,1.6666666666666667,2.3333333333333335,1.3333333333333333
Ca_09314,0.0,0.0,0.0,0.0
Ca_09315,100.33333333333333,69.33333333333333,102.33333333333333,87.33333333333333
Ca_09316,1.0,0.6666666666666666,0.0,0.0
Ca_09317,91.66666666666667,94.33333333333333,109.66666666666667,167.33333333333334
Ca_09318,234.66666666666666,175.66666666666666,262.0,226.33333333333334
Ca_09319,268.0,185.33333333333334,145.33333333333334,242.33333333333334
Ca_09320,51.0,38.666666666666664,38.666666666666664,57.0
Ca_09321,15.0,14.666666666666666,16.333333333333332,33.666666666666664
Ca_09322,372.6666666666667,104.66666666666667,300.6666666666667,944.0
Ca_09323,205.33333333333334,144.0,111.66666666666667,162.0
Ca_09324,156.33333333333334,96.33333333333333,102.0,101.0
Ca_09325,131.0,65.33333333333333,51.0,54.333333333333336
Ca_09326,190.0,160.0,189.0,171.66666666666666
Ca_09327,12.0,10.333333333333334,13.333333333333334,12.0
Ca_09328,0.3333333333333333,2.3333333333333335,0.6666666666666666,0.3333333333333333
Ca_09329,0.0,0.0,0.0,0.0
Ca_09330,4.666666666666667,6.0,0.3333333333333333,1.6666666666666667
Ca_09331,1647.3333333333333,1176.6666666666667,810.0,1191.6666666666667
Ca_09332,99.33333333333333,98.33333333333333,95.0,114.66666666666667
Ca_09333,956.6666666666666,950.6666666666666,888.6666666666666,1458.6666666666667
Ca_09334,562.0,486.0,303.3333333333333,369.3333333333333
Ca_09335,20.333333333333332,14.333333333333334,30.333333333333332,23.666666666666668
Ca_09336,220.66666666666666,195.66666666666666,168.33333333333334,214.66666666666666
Ca_09337,20.333333333333332,14.333333333333334,30.333333333333332,23.666666666666668
Ca_09338,23.333333333333332,16.0,9.333333333333334,8.666666666666666
Ca_09339,46.333333333333336,28.333333333333332,57.333333333333336,26.333333333333332
Ca_09340,40.0,36.0,31.333333333333332,27.333333333333332
Ca_09341,4.0,2.0,1.3333333333333333,0.3333333333333333
Ca_09342,389.0,498.0,604.3333333333334,580.3333333333334
Ca_09343,1112.6666666666667,1323.6666666666667,1111.6666666666667,1203.3333333333333
Ca_09344,475.0,425.0,392.6666666666667,492.0
Ca_09345,475.0,425.0,392.6666666666667,492.0
Ca_09346,2.6666666666666665,2.6666666666666665,0.6666666666666666,0.6666666666666666
Ca_09347,143.33333333333334,84.66666666666667,50.0,49.333333333333336
Ca_09348,2.0,0.3333333333333333,1.0,0.6666666666666666
Ca_09349,12.0,4.0,2.3333333333333335,3.0
Ca_09350,451.3333333333333,393.0,393.0,515.0
Ca_09351,67.33333333333333,55.666666666666664,30.0,39.0
Ca_09352,35.0,34.0,26.666666666666668,30.666666666666668
Ca_09353,4.666666666666667,3.0,2.0,1.0
Ca_09354,76.33333333333333,58.0,24.666666666666668,53.666666666666664
Ca_09355,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.3333333333333333
Ca_09356,668.3333333333334,700.0,499.6666666666667,632.0
Ca_09358,12.0,7.666666666666667,3.6666666666666665,4.0
Ca_09360,2.0,0.3333333333333333,0.3333333333333333,0.0
Ca_09362,9.0,7.666666666666667,10.0,6.333333333333333
Ca_09363,74.0,89.66666666666667,103.0,150.0
Ca_09364,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
Ca_09365,80.0,31.333333333333332,18.333333333333332,15.666666666666666
Ca_09366,41.0,36.0,30.0,48.666666666666664
Ca_09367,1.0,1.0,0.6666666666666666,0.6666666666666666
Ca_09368,1.0,1.0,1.0,2.3333333333333335
Ca_09369,479.6666666666667,360.6666666666667,301.3333333333333,362.3333333333333
Ca_09370,93.0,65.33333333333333,67.0,65.33333333333333
Ca_09371,683.6666666666666,482.0,827.0,631.0
Ca_09372,1936.0,1372.6666666666667,2332.6666666666665,1751.0
Ca_09373,294.0,182.0,134.33333333333334,115.66666666666667
Ca_09374,736.6666666666666,704.0,416.0,600.3333333333334
Ca_09375,374.0,246.0,170.33333333333334,223.66666666666666
Ca_09376,1.0,1.3333333333333333,1.0,2.0
Ca_09377,7.666666666666667,2.3333333333333335,7.0,2.0
Ca_09378,2.0,1.0,0.6666666666666666,1.6666666666666667
Ca_09379,7.0,5.333333333333333,2.3333333333333335,4.333333333333333
Ca_09380,220.66666666666666,195.66666666666666,168.33333333333334,214.66666666666666
