Gene_identifier,Root-Control,Root-SS,Shoot-Control,Shoot-SS
Ca_00250,11.4601,17.983,10.2038,12.4102
Ca_00251,0.71359,0.636632,1.28673,2.64946
Ca_00252,0.0,0.0495414,0.0,0.0
Ca_00253,0.0486854,0.0,0.970473,2.40546
Ca_00254,93.3457,70.2969,76.8163,87.9923
Ca_00255,15.2582,25.2113,0.948566,3.7144
Ca_00256,19.2785,22.4566,13.5373,17.9678
Ca_00257,6.00946,31.8101,7.40917,5.8864
Ca_00258,599.965,2134.17,128.015,665.2
Ca_00259,20.222,18.151,18.9357,14.9063
Ca_00260,13.9786,9.13152,33.2128,30.9678
Ca_00261,0.881831,1.34029,3.29028,3.07273
Ca_00262,14.5941,46.892,2.90815,5.52618
Ca_00263,10.8144,25.2342,16.0025,18.3578
Ca_00264,26.3943,24.2981,20.9424,25.3206
Ca_00265,2.94817,4.26496,8.27768,34.5381
Ca_00266,29.0437,8.22052,0.292356,0.643286
Ca_00267,29.6006,49.0135,34.5144,34.1791
Ca_00268,26.7923,39.714,15.0895,31.2371
Ca_00269,51.6937,37.8009,37.2732,32.8219
Ca_00270,0.837795,1.43103,4.48241,2.95525
Ca_00271,1.8688,6.27096,5.74323,6.0619
Ca_00272,0.743896,1.38642,4.39411,2.04574
Ca_00273,13.8815,19.2743,24.5774,41.9327
Ca_00274,9.06838,6.61047,2.63219,2.86593
Ca_00275,23.5481,11.2805,13.4655,16.7227
Ca_00276,0.0,0.0,0.0,0.0
Ca_00277,0.0,0.0,0.0,0.0
Ca_00278,8.19452,5.99899,69.7804,35.9692
Ca_00279,1.80411,3.03142,1.29457,1.45912
Ca_00280,14.6242,22.2886,6.07684,7.39622
Ca_00281,32.35,33.5969,18.4258,20.6141
Ca_00282,9.20206,11.1508,63.3579,32.8327
Ca_00283,0.0,0.276176,0.0,0.0
Ca_00284,7.57017,6.99399,7.59911,198.17
Ca_00285,47.7963,30.4589,43.1363,33.728
Ca_00286,2.07647,1.20779,0.691715,0.799916
