Test-id,Gene,FPKM-SS-C,FPKM-SS-S,FPKM-ST-C,FPKM-ST-S
XLOC_010286,Ca_13145,23.2891,20.9563,22.2202,25.7106
XLOC_010286,Ca_13146,23.2891,20.9563,22.2202,25.7106
XLOC_010285,Ca_13147,0.0,0.0,0.0,0.0
XLOC_010284,Ca_13148,94.2016,94.0198,95.8255,120.51
XLOC_022209,Ca_13149,0.0,0.0,0.0,0.0
XLOC_022208,Ca_13150,22.9639,28.5569,23.2273,28.8899
XLOC_022207,Ca_13151,0.0,0.0,0.0,0.0869796
XLOC_022206,Ca_13152,0.916602,1.0569,0.97254,1.16786
XLOC_020606,Ca_13153,122.262,114.885,105.116,123.1
XLOC_020605,Ca_13154,20.2211,22.2816,23.7953,25.4937
XLOC_022205,Ca_13155,36.7141,54.193,43.1483,50.7356
XLOC_020604,Ca_13156,80.5257,93.1511,111.246,73.4894
XLOC_022204,Ca_13157,1.70032,2.69732,1.92889,2.46007
XLOC_020603,Ca_13158,27.136,35.5892,36.1045,34.5717
XLOC_022203,Ca_13159,0.310956,0.0923663,0.320133,0.610862
XLOC_022202,Ca_13160,26.5563,29.4735,30.9495,34.3915
XLOC_020602,Ca_13161,10.6758,9.21835,11.5715,11.5439
XLOC_022201,Ca_13162,36.4145,38.3166,33.9339,39.4053
XLOC_020601,Ca_13163,31.8676,36.3418,31.854,30.2848
XLOC_022200,Ca_13164,17.9325,19.5475,23.5529,26.2153
XLOC_022199,Ca_13165,22.4088,19.7511,39.2725,21.6791
XLOC_022198,Ca_13166,2.08562,1.78391,2.26294,1.98745
XLOC_022197,Ca_13167,8.02395,8.99128,10.6556,10.3239
XLOC_022196,Ca_13168,27.9547,24.4749,49.072,85.1698
XLOC_020600,Ca_13169,10.2725,9.8065,9.75836,12.7298
XLOC_022195,Ca_13170,38.7006,35.1858,27.1182,32.597
XLOC_020599,Ca_13171,87.1036,88.633,95.9062,86.8302
XLOC_020599,Ca_13172,87.1036,88.633,95.9062,86.8302
XLOC_022194,Ca_13173,6.14611,5.41673,5.50572,6.97713
XLOC_020598,Ca_13174,31.8508,32.5543,26.7679,33.3869
XLOC_020595,Ca_13175,471.575,523.076,520.347,507.545
XLOC_022193,Ca_13175,143.271,167.705,167.384,161.1
XLOC_020597,Ca_13176,0.0843267,0.413629,0.0,0.0980852
XLOC_020596,Ca_13177,10.3005,8.0206,12.1609,11.1005
XLOC_022192,Ca_13178,12.4154,9.99341,16.71,19.5676
XLOC_022191,Ca_13179,0.0,0.0,0.0,0.0
XLOC_020594,Ca_13180,23.274,21.0265,17.9455,21.0771
XLOC_022190,Ca_13181,1.04877,0.92238,0.573874,1.31289
XLOC_022189,Ca_13182,10.4178,6.32628,8.44816,14.8702
XLOC_022188,Ca_13183,7.95431,7.44458,10.9963,11.6215
XLOC_022187,Ca_13184,7.59756,6.7366,8.09713,9.4283
XLOC_020593,Ca_13185,7.33106,5.53396,7.75453,7.83614
XLOC_022186,Ca_13186,19.6726,15.0023,18.0824,14.7519
XLOC_020592,Ca_13187,23.3405,16.3022,35.5782,39.3684
XLOC_022185,Ca_13188,0.0521968,0.0571017,0.0,0.0
XLOC_020591,Ca_13189,3.39699,3.08537,4.18236,3.20927
XLOC_020590,Ca_13190,5.32936,5.65919,4.16397,3.43192
XLOC_022184,Ca_13191,0.0,0.0,0.0,0.0
XLOC_020589,Ca_13192,19.0824,17.7973,18.3913,18.7744
XLOC_022183,Ca_13193,9.1056,10.7109,13.4282,12.1364
XLOC_020588,Ca_13194,17.5179,15.9199,18.3093,17.6614
XLOC_022182,Ca_13195,2.8278,2.67139,2.32735,2.68227
XLOC_022181,Ca_13196,0.132405,0.0385845,0.0480248,0.112841
XLOC_022180,Ca_13197,20.4579,19.5768,19.5949,18.6849
XLOC_022179,Ca_13198,202.857,217.177,215.564,220.586
XLOC_022178,Ca_13199,20.3471,20.5599,18.3039,19.6266
XLOC_020587,Ca_13200,18.0017,17.7713,24.1251,24.0758
XLOC_020587,Ca_13201,18.0017,17.7713,24.1251,24.0758
XLOC_022177,Ca_13202,11.018,12.2144,7.11808,10.1205
XLOC_020586,Ca_13203,4.26815,3.85953,5.14363,3.39645
XLOC_022176,Ca_13204,3.89469,3.74127,4.52446,3.98907
XLOC_020585,Ca_13205,107.437,116.101,119.436,120.768
XLOC_020584,Ca_13206,4.40174,3.632,5.90584,4.02893
XLOC_022175,Ca_13207,14.89,14.698,11.3817,14.3247
XLOC_022174,Ca_13208,0.0,0.0,0.0,0.0
XLOC_022173,Ca_13209,19.9398,14.7901,21.0554,17.2563
XLOC_022172,Ca_13210,5.41126,3.44603,3.26467,3.33107
XLOC_022172,Ca_13211,5.41126,3.44603,3.26467,3.33107
XLOC_020583,Ca_13212,0.112887,0.0678703,0.0,0.127759
XLOC_020582,Ca_13213,84.9732,99.0386,70.6332,74.6545
XLOC_020580,Ca_13214,28.5329,26.7508,26.287,27.7528
XLOC_022171,Ca_13215,289.348,285.567,271.283,275.765
XLOC_022170,Ca_13216,0.198256,0.0,0.0,0.0
XLOC_020579,Ca_13217,7.86499,7.18393,8.3795,8.38033
XLOC_022169,Ca_13218,0.0,0.0,0.0,0.0
XLOC_020578,Ca_13219,106.603,109.856,108.824,114.835
XLOC_020578,Ca_13220,106.603,109.856,108.824,114.835
XLOC_022168,Ca_13221,0.661894,0.57644,1.39216,1.01915
XLOC_022167,Ca_13222,39.7364,37.0932,10.4308,11.7355
XLOC_022166,Ca_13223,3.32542,2.78531,2.55607,3.17565
XLOC_022165,Ca_13224,18.1216,18.3562,16.7551,16.9575
XLOC_020577,Ca_13225,22.3723,24.432,22.9236,21.9787
XLOC_022164,Ca_13226,0.0,0.0,0.0,0.0
XLOC_020576,Ca_13227,11.0008,9.76495,12.319,10.0245
XLOC_020575,Ca_13228,11.3471,8.9073,9.14851,8.25829
XLOC_022163,Ca_13229,23.8045,20.9177,22.0009,21.0034
XLOC_022162,Ca_13230,19.7474,20.1071,21.7437,21.1292
XLOC_020574,Ca_13231,25.7542,20.1956,23.0594,23.8768
XLOC_020573,Ca_13232,6.77906,7.58587,6.43461,5.95313
XLOC_022161,Ca_13233,0.0,0.0,0.0,0.0
XLOC_022160,Ca_13234,0.0,1.54619,0.0,1.4948
XLOC_022159,Ca_13235,27.8662,29.9198,26.2686,29.2139
XLOC_022158,Ca_13236,0.103218,0.0,0.111658,0.357917
XLOC_020572,Ca_13237,6.00352,5.79574,5.24559,5.99997
XLOC_020571,Ca_13238,0.636925,0.775197,0.0,0.0
XLOC_022157,Ca_13239,128.293,125.126,86.2005,113.225
XLOC_020570,Ca_13240,79.5832,82.7927,68.7879,80.1385
XLOC_020569,Ca_13241,91.7982,93.2157,81.0384,92.6678
XLOC_022156,Ca_13242,24.7471,20.1108,22.3357,21.2534
XLOC_020568,Ca_13243,2.66961,2.58931,4.32992,4.70124
XLOC_020567,Ca_13244,0.0,0.0,0.0,0.0
XLOC_017973,Ca_13245,0.731205,0.904076,1.62732,0.426755
XLOC_017976,Ca_13246,11.9839,11.6287,12.7406,14.1361
XLOC_016041,Ca_13247,0.0,0.0,0.0,0.0
XLOC_017977,Ca_13248,0.0,0.0,0.0,0.0
XLOC_016042,Ca_13249,92.286,98.0734,63.5612,108.931
XLOC_016043,Ca_13250,38.4764,35.9575,34.1879,33.8315
XLOC_016044,Ca_13251,172.3,185.068,156.797,162.893
XLOC_017978,Ca_13252,2.15732,2.09955,4.33447,1.71154
XLOC_017979,Ca_13253,27.6292,25.4528,23.0669,23.2928
XLOC_017980,Ca_13254,4.81097,6.21814,6.62039,6.18537
XLOC_017980,Ca_13255,4.81097,6.21814,6.62039,6.18537
XLOC_016045,Ca_13256,13.5061,13.1678,15.6491,16.492
XLOC_016046,Ca_13257,1.1918,0.957475,1.39432,1.00555
XLOC_016047,Ca_13258,3.20918,4.19934,3.75642,3.51016
XLOC_016048,Ca_13259,20.627,22.8255,20.9052,21.423
XLOC_017981,Ca_13260,18.1327,18.1969,16.1682,14.229
XLOC_017982,Ca_13261,0.0,0.0,0.0,0.0
XLOC_016049,Ca_13262,93.252,101.876,81.2798,116.573
XLOC_016050,Ca_13263,29.6013,25.9778,32.727,50.5863
XLOC_016051,Ca_13264,40.1906,35.3223,36.1993,36.7051
XLOC_017983,Ca_13265,54.6829,57.3453,37.2825,45.8062
XLOC_017984,Ca_13266,63.5101,30.0642,89.3258,58.3169
XLOC_016052,Ca_13267,2.53327,2.25955,2.14527,3.38046
XLOC_016053,Ca_13268,34.3564,39.8077,39.2672,41.1171
XLOC_016054,Ca_13269,6.13361,8.90308,6.00806,6.69898
XLOC_017985,Ca_13270,0.0,0.0,0.0,0.0
