Gene_identifier,Root-Control,Root-DS,Shoot-Control,Shoot-DS
Ca_03077,5.01834,5.45216,2.46879,5.07717
Ca_03078,27.5353,27.6211,33.8603,16.8189
Ca_03079,31.97,22.5757,47.7796,51.2993
Ca_03080,6.46128,5.56674,48.2655,19.7573
Ca_03081,5.55129,3.96185,3.18154,4.1969
Ca_03082,14.6582,5.43896,0.661686,0.0517851
Ca_03083,6.76771,8.76111,2.12206,2.9752
Ca_03084,7.14992,2.70935,41.5228,20.434
Ca_03085,31.622,31.2316,24.3352,38.0255
Ca_03086,1.30363,2.12472,0.682908,2.95785
Ca_03087,9.69127,15.6113,7.91878,13.177
Ca_03088,13.7309,16.9971,16.9026,11.765
Ca_03089,0.0,0.0,0.244347,0.127891
Ca_03090,1.75756,1.4932,2.39477,1.26893
Ca_03091,7.88855,2.32378,13.8939,8.75265
Ca_03092,10.7213,9.03339,8.76064,14.0213
Ca_03093,9.47614,11.4168,10.8613,4.05618
Ca_03094,73.7256,62.0172,26.9301,38.1029
Ca_03095,12.567,7.89366,16.7934,9.52165
Ca_03096,5.75499,6.56985,14.3403,5.7615
Ca_03097,5.8302,8.73201,6.67678,9.9656
Ca_03098,15.3576,23.0875,93.6424,70.1845
Ca_03099,84.2181,86.9354,107.407,57.1751
Ca_03100,12.486,16.4123,17.3418,19.1038
Ca_03101,15.1585,3.64859,18.7595,14.4187
Ca_03102,10.4067,4.41541,1.11193,4.03077
Ca_03103,20.311,32.3168,13.899,18.2461
Ca_03104,1.27916,0.777791,4.53254,10.3417
Ca_03105,161.383,99.4064,30.1384,132.611
Ca_03106,12.2138,14.1879,9.21816,10.2914
Ca_03107,10.0749,140.124,19.3901,28.0215
Ca_03108,1.76198,2.78192,6.10488,5.87308
Ca_03109,0.122987,5.56883,1.29733,0.835618
Ca_03110,24.409,28.0013,14.2722,12.6999
Ca_03111,44.7355,61.8163,27.9043,162.974
Ca_03112,8.78354,14.9661,8.23325,17.0332
Ca_03113,2.41576,3.95261,2.44526,0.813024
Ca_03114,29.4552,27.5652,38.8814,25.491
Ca_03115,80.025,72.5831,52.2267,44.5957
Ca_03116,80.025,72.5831,52.2267,44.5957
Ca_03117,8.74887,7.77018,9.98767,7.10253
Ca_03118,26.8788,37.2352,0.0370671,0.0387749
Ca_03119,1.21967,1.50201,5.33366,11.923
Ca_03120,8.53437,0.0,0.0,0.0
Ca_03121,62.2785,141.838,94.2356,39.6151
Ca_03122,12.5198,11.0993,28.0831,20.2883
Ca_03123,113.886,95.5381,24.0255,19.4648
Ca_03124,14.239,16.2584,13.744,8.22204
Ca_03125,8.93836,11.4814,15.8915,11.9352
Ca_03126,84.2466,63.9998,42.1753,57.9863
Ca_03127,26.9443,22.4453,11.7764,18.3479
Ca_03128,215.676,269.874,309.08,181.598
Ca_03129,0.0,0.0,0.0972272,0.0678497
Ca_03130,0.0280045,0.068392,0.0215818,0.0
Ca_03131,0.0745897,0.341958,0.0,0.0
Ca_03132,0.868539,0.245288,1.03546,0.816842
Ca_03133,0.126885,0.0303551,0.144493,0.197617
Ca_03134,116.896,137.367,107.523,128.95
Ca_03135,0.0922805,0.0,0.0,0.0
Ca_03136,3.05812,2.10805,4.19222,2.55956
Ca_03137,4.50259,2.87791,13.2279,11.9273
Ca_03138,0.0340418,0.0,4.42708,1.17463
Ca_03139,7.89473,6.33607,7.25393,5.65338
Ca_03140,18.2315,14.8598,15.6395,9.89815
Ca_03141,28.6165,26.8848,40.6583,23.2271
Ca_03142,16.9458,19.9442,9.53431,25.1689
Ca_03143,3.84663,9.19399,27.3205,11.1721
Ca_03144,41.9887,48.3305,15.3381,12.7216
Ca_03145,0.471843,1.011,10.1409,3.85251
Ca_03146,65.2014,69.4148,30.6816,61.7089
Ca_03147,71.7213,78.1841,77.2958,69.6702
Ca_03148,0.0,0.0,1.21416,279.932
Ca_03149,3.37947,2.85244,3.45608,5.31074
Ca_03150,3.61181,3.2855,5.63985,3.74551
Ca_03151,13.6337,17.6997,21.4598,21.5815
Ca_03152,47.1991,53.0165,23.1285,23.7981
