Ca_ID,XLOC_ID,10685_AFL_C,10685_AFL_S,10685_AFR_C,10685_AFR_S,10685_BFL_C,10685_BFL_S,10685_BFR_C,10685_BFR_S
Ca_12081,XLOC_009243,2.70285,4.7816,13.9891,10.5854,1.00536,8.7455,15.4888,8.44234
Ca_12090,XLOC_009248,36.5723,18.2422,11.0089,7.2085,58.0168,39.9864,9.83056,9.44463
Ca_12098,XLOC_011162,46.425,41.2456,34.792,33.8805,49.878,31.844,35.2822,27.4807
Ca_12101,XLOC_011163,24.001,10.5264,5.78841,11.0027,31.9618,15.4642,6.04193,11.3068
Ca_12108,XLOC_009259,2.45668,1.43227,30.4197,10.9255,2.34537,0.0,27.0156,12.0776
Ca_12109,XLOC_009259,2.45668,1.43227,30.4197,10.9255,2.34537,0.0,27.0156,12.0776
Ca_12112,XLOC_009261,2.53717,2.69794,0.0,1.40714,3.93191,4.16361,1.83897,1.68978
Ca_12113,XLOC_011171,0.0,3.71619,1.44395,1.63083,3.52264,7.61117,1.18894,2.22095
Ca_12124,XLOC_011180,38.0548,66.9179,26.8877,49.4509,56.6302,37.8091,29.4463,49.7205
Ca_12125,XLOC_011181,56.9194,91.3064,33.656,32.3029,57.999,38.0159,33.989,30.0143
Ca_12126,XLOC_011182,0.0,0.0,1.01354,1.21175,0.0,0.0,2.03937,2.0866
Ca_12130,XLOC_011184,6.84477,30.1008,22.0719,16.0879,8.99909,8.64798,21.614,15.7335
Ca_12132,XLOC_009267,70.0597,49.7854,45.494,45.3559,60.1664,26.1847,41.9999,45.4354
Ca_12142,XLOC_011192,15.8254,18.0771,14.9685,15.803,17.9242,16.2032,17.2638,13.5293
Ca_12145,XLOC_011195,3.86026,1.4273,98.1118,58.1779,2.41802,2.04306,106.353,59.523
Ca_12146,XLOC_009271,2.92766,23.4689,2.84954,3.1365,1.62631,5.37346,2.78629,3.36418
Ca_12159,XLOC_009280,2.5475,2.78059,1.81954,1.58636,3.27725,5.99599,2.05697,1.99615
Ca_12164,XLOC_011203,6.98099,4.22023,0.0,0.0,8.75871,4.32231,0.0,1.37143
Ca_12168,XLOC_011206,3.70357,7.46035,21.1572,0.0,4.14411,52.0892,18.099,0.0
Ca_12170,XLOC_011208,1.22394,0.0,0.0,8.08133,2.82934,1.34674,1.36371,3.39378
Ca_12173,XLOC_009288,0.0,1.81434,1.71483,4.3535,0.0,0.0,1.40307,3.58382
Ca_12181,XLOC_007016,2.05407,1.15312,0.0,0.0,1.67011,3.43344,0.0,0.0
Ca_12183,XLOC_007017,16.3543,4.14661,6.49396,22.0998,19.9396,9.12261,4.63905,24.8215
Ca_12184,XLOC_007017,16.3543,4.14661,6.49396,22.0998,19.9396,9.12261,4.63905,24.8215
Ca_12185,XLOC_008489,1.38029,6.02093,10.0994,24.0235,1.28236,6.13756,8.58357,24.4458
Ca_12187,XLOC_007019,6.29254,1.64797,2.73366,0.0,4.7587,2.45063,2.73696,1.53723
