Gene_identifier,Root-Control,Root-CS,Shoot-Control,Shoot-CS
Ca_14735,1.29666,0.418392,52.8505,66.3076
Ca_14736,29.9833,12.9044,11.0857,9.16843
Ca_14737,87.9279,49.8809,127.783,103.243
Ca_14738,13.6075,20.2303,12.0088,13.5689
Ca_14739,9.79938,11.0652,11.0105,9.26867
Ca_14740,3.98703,3.3042,5.09902,5.29471
Ca_14741,2.08134,3.07775,0.307774,0.180282
Ca_14742,4.81843,6.07379,9.47589,6.8228
Ca_14743,28.5271,30.3114,2.37806,1.27816
Ca_14744,23.0455,10.6952,25.4185,32.1989
Ca_14745,12.2657,0.237331,0.159469,0.158444
Ca_14746,6.70524,5.81051,4.11976,8.45319
Ca_14747,22.7755,182.584,0.525798,2.94576
Ca_14748,4.38549,4.81409,30.948,26.5032
Ca_14749,6.7199,4.65681,36.8098,37.4034
Ca_14750,22.2101,17.1878,17.2677,16.6898
Ca_14751,85.9109,60.2877,15.5182,17.5814
Ca_14752,5.43515,2.55738,3.76306,3.87751
Ca_14753,5.61659,4.87711,61.7125,69.1425
Ca_14754,5.61659,4.87711,61.7125,69.1425
Ca_14755,0.0,0.0,0.0,0.0
Ca_14756,0.11538,0.0599913,0.0,0.0574126
Ca_14757,44.1102,39.1429,22.4421,29.468
Ca_14758,4.85374,5.34914,3.21611,3.71705
Ca_14759,0.0,0.0,0.0,0.0
Ca_14760,7.27504,2.35712,12.3127,8.91699
Ca_14761,10.2708,17.5741,13.8666,9.47932
Ca_14762,0.0783959,0.27116,0.059896,0.150504
Ca_14763,0.0,0.0,0.0247274,0.194007
Ca_14764,3.55862,12.7034,13.6705,21.4912
Ca_14765,6.05214,7.2521,5.71655,5.02434
Ca_14766,0.224795,0.0,0.684454,0.337055
Ca_14767,32.7633,38.8495,29.4965,29.668
Ca_14768,116.547,122.251,160.291,181.074
Ca_14769,0.0,0.0,0.0,0.208727
Ca_14770,37.9723,8.14379,51.2759,43.6008
Ca_14771,10.4993,13.4903,9.30973,8.53628
Ca_14772,82.8376,97.6734,5.45609,7.1846
Ca_14773,10.0051,47.0606,12.9765,11.5204
Ca_14774,8.31063,3.18429,8.03586,6.24762
Ca_14775,40.9162,19.0794,1.33393,2.9184
Ca_14776,58.0113,45.8726,6.43107,7.67191
Ca_14777,0.0671692,0.0,59.8321,85.7008
Ca_14778,8.25895,34.526,0.0,0.0510015
Ca_14779,33.3742,29.4706,22.8699,26.397
Ca_14780,4.02153,3.51867,10.4375,7.22569
Ca_14781,16.3421,28.4951,13.5953,16.1252
Ca_14782,14.066,6.84014,21.7887,15.3966
Ca_14783,6.1255,3.82283,11.7504,12.7327
Ca_14784,0.193112,0.687926,0.515794,0.448777
Ca_14785,5.69294,7.13516,17.9279,17.3962
Ca_14786,0.0,0.0,0.0,0.0
Ca_14787,13.7096,18.1756,12.25,12.9147
Ca_14788,30.6848,79.6614,7.02188,6.85558
Ca_14789,1.5088,3.04271,53.5655,52.0463
Ca_14790,0.118573,0.0804991,0.10784,0.0787926
Ca_14791,11.4904,428.803,10.6385,46.0661
Ca_14792,38.6595,32.8699,15.371,14.8664
Ca_14793,21.5525,7.23725,356.933,396.781
Ca_14794,12.8762,6.62966,10.6402,10.3884
Ca_14795,53.1495,49.2132,81.8616,91.1221
Ca_14796,21.495,25.3523,30.3813,18.7947
Ca_14797,11.6929,12.1277,31.4093,20.6108
Ca_14798,18.7534,30.6691,41.2783,36.9724
Ca_14799,31.8087,27.4385,28.6574,23.8215
Ca_14800,0.551958,0.629907,0.652281,0.548867
Ca_14800,28.0675,14.7337,16.7709,17.8783
Ca_14801,0.8842,0.571509,1.4828,0.781694
Ca_14802,0.0365584,0.0853865,20.1233,22.3518
Ca_14803,0.0786941,0.0620262,0.0,0.0147926
Ca_14804,0.0,0.0,0.0,0.0
Ca_14805,11.6277,11.2097,43.6107,43.9252
Ca_14806,0.0,0.0,0.0,0.0
Ca_14807,4.69082,6.70548,13.3603,9.54672
Ca_14808,41.7146,26.4546,23.33,23.962
Ca_14809,0.0,0.0,0.0,0.0
Ca_14810,188.272,224.394,530.978,460.533
Ca_14811,8.56791,37.2048,13.122,14.8969
Ca_14812,6.22363,3.72031,0.700801,0.50552
Ca_14813,3.80721,1.20239,8.75286,8.82379
Ca_14814,4.83356,3.32588,3.05586,3.70442
Ca_14815,2.18472,3.84245,18.2185,12.5856
Ca_14816,2.83934,1.98762,3.10799,3.25134
Ca_14817,23.5121,13.4465,18.6504,23.6026
Ca_14818,109.979,131.397,164.672,190.033
Ca_14819,33.0033,34.4418,22.3109,22.709
Ca_14820,37.5732,62.8969,23.4325,26.5179
Ca_14821,30.7069,21.1342,26.4177,24.5639
Ca_14822,14.1295,53.7026,11.5304,11.6571
Ca_14823,16.5486,20.8492,10.1216,10.3459
Ca_14824,87.144,230.461,15.6464,28.9214
Ca_14825,72.6227,24.4753,115.627,135.345
Ca_14826,52.4147,54.8234,44.4102,38.7792
Ca_14827,69.8068,24.8923,16.7775,15.5833
Ca_14828,238.205,233.814,324.103,321.92
Ca_14829,0.144918,0.113372,1.1823,1.25023
Ca_14830,18.9526,21.4937,9.0613,12.8308
Ca_14831,3.41751,1.45746,2.30284,1.84441
Ca_14832,601.453,619.912,383.37,387.696
Ca_14833,3.48794,3.12653,3.5738,2.60799
Ca_14834,8.1878,8.82981,0.0934308,0.27116
Ca_14835,4.58351,2.78955,370.588,501.965
Ca_14836,0.0,0.0,0.0,0.282489
Ca_14837,29.2353,31.374,30.8515,27.9575
Ca_14838,93.7837,88.1704,78.7006,92.5212
Ca_14839,8.56837,6.67912,0.572409,0.654552
Ca_14840,29.5466,26.8394,97.7981,136.205
Ca_14841,3.52294,4.99387,3.43724,3.13065
Ca_14842,12.3617,11.6503,5.71302,4.41565
Ca_14843,26.1621,9.22089,1.3464,1.62691
Ca_14844,21.8964,24.0202,13.8333,14.414
Ca_14845,2.86295,3.83999,4.41757,3.68493
Ca_14846,2.86295,3.83999,4.41757,3.68493
Ca_14847,2.92606,2.12687,1.3873,0.932069
Ca_14848,1.61952,1.82288,2.0903,2.06639
Ca_14849,90.2628,59.1612,61.9031,82.5995
Ca_14850,0.0,0.0,0.0,0.0
Ca_14851,147.269,244.257,0.181407,0.29858
Ca_14852,0.0,0.0,0.0,0.0
Ca_14853,0.0403197,0.0315224,0.0305369,0.0
Ca_14854,8.16811,5.63932,12.8824,6.73554
Ca_14854,5.0603,4.77512,5.41898,3.54852
Ca_14855,4.05314,2.95115,4.46955,2.6035
Ca_14856,0.211396,0.0,0.0,0.154319
Ca_14857,19.12,14.4436,7.22926,6.22491
Ca_14858,3.22043,1.362,2.96934,1.1003
Ca_14859,0.0,0.0,0.0,0.0
Ca_14860,0.0,0.0,0.0,0.0
Ca_14861,173.338,159.898,44.6721,70.8201
Ca_14862,1.03923,0.874813,1.31971,1.22233
Ca_14863,284.823,265.288,181.431,207.543
Ca_14864,0.0,0.0,0.168085,0.126572
Ca_14865,37.9224,54.3617,64.5644,57.4216
Ca_14866,99.0258,22.0599,113.571,66.0197
Ca_14867,17.1853,12.5946,4.80386,5.41039
Ca_14868,1.58329,0.684106,30.0501,38.9823
Ca_14869,0.0,0.287289,0.0483657,0.0313941
Ca_14870,0.0,0.0,0.0790404,0.0
Ca_14871,3.05307,3.03145,1.2971,2.77998
Ca_14872,8.63616,11.2578,41.0271,31.9758
Ca_14873,3.00254,3.5564,6.39582,4.51345
Ca_14874,27.7229,52.3987,28.2125,31.0519
Ca_14875,25.4722,19.5709,0.735631,0.811544
Ca_14876,52.1408,48.7245,168.463,287.298
Ca_14877,71.3334,44.1981,54.0331,57.2329
Ca_14878,71.3334,44.1981,54.0331,57.2329
Ca_14879,14.7258,19.0734,23.4286,20.6856
Ca_14880,9.59792,13.0266,0.861055,1.26343
Ca_14881,430.319,410.872,4.92371,4.09319
Ca_14882,30.6405,22.7379,15.192,14.0673
Ca_14883,0.451187,0.0436215,0.0219813,0.0659907
Ca_14884,5.33383,7.61638,9.00744,6.98593
Ca_14885,331.62,317.784,439.724,395.666
Ca_14886,5.33383,7.61638,9.00744,6.98593
Ca_14887,1.08582,0.472122,0.563835,1.01785
Ca_14888,121.889,124.844,95.094,104.459
Ca_14889,16.0133,11.8452,47.9737,42.681
Ca_14890,0.859926,8.08842,8.40212,9.21673
Ca_14891,3.36001,7.09613,9.4762,6.79439
Ca_14892,42.294,44.2453,18.064,17.0047
Ca_14893,0.0,0.0836743,0.0865735,0.0837172
Ca_14894,18.5601,15.2618,21.8876,24.1468
Ca_14895,47.7714,35.239,15.9261,14.3179
Ca_14896,15.3136,13.3353,12.2844,11.47
Ca_14897,5.25316,8.39408,7.46033,7.28449
Ca_14898,2.26856,2.27016,2.93585,2.96371
Ca_14899,0.0,0.0,0.0,0.0
Ca_14900,0.0,0.0,0.0,0.0
Ca_14901,16.0355,14.7606,13.6298,12.0394
Ca_14902,2.11855,3.42318,2.14256,1.66515
Ca_14902,3.8045,3.69448,7.75573,7.4007
Ca_14902,0.0,1.80018,0.285881,0.0
Ca_14903,0.212585,0.331613,0.137189,0.189085
Ca_14904,21.1202,46.099,28.6734,22.1287
Ca_14905,0.0,0.0,0.0,0.0
Ca_14906,39.071,25.664,18.279,15.6955
Ca_14907,0.0,0.0,0.0,0.0
Ca_14908,138.502,87.6258,42.2005,46.6276
Ca_14909,115.692,149.293,6.84032,4.29051
Ca_14910,97.229,115.586,68.2804,78.1247
Ca_14911,21.1669,23.4291,4.79716,5.15953
Ca_14912,97.1416,25.8468,16.2444,13.6227
Ca_14913,0.16888,0.0,0.0,0.0
Ca_14914,7.97597,11.0697,12.1754,9.88072
Ca_14915,53.6526,50.8727,1.12054,1.25596
Ca_14916,12.3452,19.4589,15.22,12.4622
Ca_14917,0.0,0.0,0.0,0.0
Ca_14918,0.0,0.0,0.0,0.0
Ca_14919,44.4032,37.9558,24.9911,22.6435
Ca_14920,15.4951,9.27127,13.5542,18.4916
Ca_14921,1.4816,2.31735,3.10333,4.23927
Ca_14922,90.0957,76.3582,24.8691,40.3142
Ca_14923,7.436,3.83848,4.56163,4.46065
Ca_14924,0.975629,0.0952728,1.31144,1.47284
Ca_14925,3.89384,4.0816,3.54153,2.51342
Ca_14926,0.0,0.0,0.0,0.0
